City,Business Name,Contact Phone,Physical Address,Website / Social,Alliance Status,Latitude,Longitude
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5097857,77.1682199
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5338394,77.1524614
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6787262,77.2069718
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6785742,77.207262
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6931761,77.2109983
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6851939,77.1316204
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6350506,77.3037816
New Delhi,Local Copyshop (Osm Ref),Not Listed,Delhi,Not Listed,Prospect (Phase 1 B2B),28.6278151,77.3080711
New Delhi,Local Copyshop (Osm Ref),Not Listed,Delhi,Not Listed,Prospect (Phase 1 B2B),28.6278622,77.3082254
New Delhi,Local Stationery (Osm Ref),Not Listed,Delhi,Not Listed,Prospect (Phase 1 B2B),28.6278531,77.3081905
New Delhi,Local Copyshop (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.542235,77.2251838
New Delhi,Krissh Travel World,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6022363,77.1870641
New Delhi,Vijay Stationery Mart,+91-93122-41116;+91-99999-29434;+91-11-2611-3514,"Malcha Marg, New Delhi",Not Listed,Prospect (Phase 1 B2B),28.6023484,77.1869334
New Delhi,Local Copyshop (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6022175,77.1870861
New Delhi,M. Business Centre,+91-11-4168-0106,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6023212,77.1869652
New Delhi,Star Telecom Centre,+91-98113-27478,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6118217,77.288843
New Delhi,Capital Book Agency,+91-011-2923-6380;+91-011-4670-2221,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5528542,77.2423291
New Delhi,Arish Enterprises,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.669407,77.32889
New Delhi,Kamat Stationery and Photostat,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5064729,77.1995941
New Delhi,Friends Digital Print Solutions,+91-98130-79426;+91-95606-98864,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.520261,77.20258
New Delhi,New Delhi Stationery Mart,+91-11-4455-6677,New Delhi,https://jainbookagency.com,Prospect (Phase 1 B2B),28.6343926,77.2200051
New Delhi,Royal Stationers,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5357248,77.2119334
New Delhi,chauhan stationers,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5327763,77.2188584
New Delhi,shree ji solutions,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5309026,77.217192
New Delhi,gupta stationary,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5353372,77.2168065
New Delhi,singh brothers,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5344088,77.2169234
New Delhi,Sardarji stationery shop,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5332007,77.2212213
New Delhi,raj printer,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5345636,77.2210084
New Delhi,Variety mart,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5352085,77.2167495
New Delhi,C.M.  sticker & labels,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5330276,77.2215657
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6297134,77.2319622
New Delhi,Khurana Digital Color Solution,+91-11-2642-4919;+91-11-2644-8414;+91-11-2644-8415;+91-11-2644-8416;+91-98110-18246;+91-98101-14286;+91-93109-40500,New Delhi,https://khuranadcs.com/,Prospect (Phase 1 B2B),28.5481888,77.2518593
New Delhi,South Delhi Stationery,+91 97116 26429,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5482379,77.252019
New Delhi,Mehta Bandhu,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5483135,77.2523512
New Delhi,Dharma Mobile and Stationery,+91-99904-00438;+91-85276-81267,"IGNOU Road, New Delhi",Not Listed,Prospect (Phase 1 B2B),28.5076756,77.2003232
New Delhi,Achiever's,+91-11-4914-9769,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5354531,77.210832
New Delhi,HRKA Stationers,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5144918,77.2048139
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.6295607,77.2325052
New Delhi,Local Stationery (Osm Ref),Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5166286,77.2005019
New Delhi,Gyan Book Centre,+91-85880-58174;+91-85880-56019,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.5178438,77.1985862
New Delhi,Paper Theatre,Not Listed,New Delhi,Not Listed,Prospect (Phase 1 B2B),28.571112,77.2391077
New Delhi,Empire Mart,+91-11-2642-7231;+91-11-2628-7211;+91-2628-7212;+91-98112-42587,New Delhi,https://empiremart.in/,Prospect (Phase 1 B2B),28.5483007,77.2521558
